country,suicide_rate_per_100000_people
Afghanistan,4.3
Albania,5.193333333333333
Algeria,2.8800000000000003
Angola,5.2
Antigua and Barbuda,0.8666666666666666
Argentina,7.28
Armenia,4.239999999999999
Australia,10.359999999999998
Austria,13.993333333333334
Azerbaijan,2.2466666666666666
Bahamas,1.6066666666666665
Bahrain,4.633333333333334
Bangladesh,5.1000000000000005
Barbados,1.7333333333333334
Belarus,31.533333333333335
Belgium,17.14666666666666
Belize,4.033333333333333
Benin,7.779999999999999
Bhutan,9.386666666666667
Bolivia (Plurinational State of),11.620000000000001
Bosnia and Herzegovina,7.4333333333333345
Botswana,9.08
Brazil,4.513333333333333
Brunei Darussalam,2.8266666666666667
Bulgaria,11.253333333333332
Burkina Faso,6.2266666666666675
Burundi,6.706666666666666
Cabo Verde,8.36
Cambodia,4.473333333333333
Cameroon,9.833333333333336
Canada,10.366666666666667
Central African Republic,7.06
Chad,6.813333333333333
Chile,8.96
China,9.1
Colombia,5.993333333333333
Comoros,4.98
Congo,6.513333333333333
Costa Rica,6.346666666666667
Croatia,15.766666666666667
Cuba,11.686666666666666
Cyprus,3.08
Czechia,12.633333333333333
Côte d’Ivoire,9.506666666666666
Democratic People's Republic of Korea,8.88
Democratic Republic of the Congo,4.7733333333333325
Denmark,11.393333333333336
Djibouti,4.646666666666666
Dominican Republic,7.006666666666666
Ecuador,6.646666666666666
Egypt,2.806666666666666
El Salvador,9.813333333333334
Equatorial Guinea,12.173333333333334
Eritrea,7.819999999999999
Estonia,17.733333333333334
Eswatini,9.826666666666664
Ethiopia,6.086666666666668
Fiji,3.4999999999999996
Finland,15.753333333333332
France,16.400000000000002
Gabon,5.386666666666667
Gambia,4.54
Georgia,5.3
Germany,11.233333333333333
Ghana,3.6733333333333333
Greece,3.0266666666666664
Grenada,1.32
Guatemala,2.4866666666666664
Guinea,5.2266666666666675
Guinea-Bissau,3.513333333333333
Guyana,20.78666666666667
Haiti,8.046666666666667
Honduras,2.0266666666666664
Hungary,21.493333333333336
Iceland,11.133333333333333
India,13.673333333333334
Indonesia,2.9466666666666663
Iran (Islamic Republic of),6.38
Iraq,2.2
Ireland,9.573333333333334
Israel,5.513333333333333
Italy,6.12
Jamaica,1.666666666666667
Japan,18.79333333333333
Jordan,2.433333333333334
Kazakhstan,26.633333333333333
Kenya,2.9066666666666663
Kiribati,11.4
Kuwait,1.6733333333333333
Kyrgyzstan,8.653333333333334
Lao People's Democratic Republic,7.393333333333332
Latvia,21.953333333333326
Lebanon,2.5266666666666664
Lesotho,15.473333333333333
Liberia,5.093333333333333
Libya,4.0600000000000005
Lithuania,34.5
Luxembourg,11.76
Madagascar,3.5
Malawi,3.6466666666666665
Malaysia,4.213333333333334
Maldives,2.6533333333333333
Mali,4.013333333333334
Malta,5.62
Mauritania,3.006666666666667
Mauritius,7.3133333333333335
Mexico,3.6266666666666665
Micronesia (Federated States of),9.006666666666668
Mongolia,12.98
Montenegro,8.48
Morocco,3.766666666666666
Mozambique,5.253333333333333
Myanmar,5.946666666666667
Namibia,8.226666666666667
Nepal,9.500000000000002
Netherlands,8.446666666666667
New Zealand,10.346666666666666
Nicaragua,11.313333333333333
Niger,3.8000000000000003
Nigeria,7.873333333333333
Norway,10.186666666666666
Oman,2.8333333333333335
Pakistan,2.5999999999999996
Panama,4.246666666666666
Papua New Guinea,4.84
Paraguay,7.853333333333333
Peru,3.8466666666666662
Philippines,2.3533333333333335
Poland,14.033333333333333
Portugal,9.333333333333334
Qatar,3.2
Republic of Korea,20.786666666666672
Republic of Moldova,14.940000000000001
Romania,10.4
Russian Federation,36.44666666666667
Rwanda,8.193333333333333
Saint Lucia,4.706666666666666
Saint Vincent and the Grenadines,4.413333333333335
Samoa,4.786666666666666
Sao Tome and Principe,1.62
Saudi Arabia,2.3733333333333335
Senegal,5.820000000000001
Serbia,14.233333333333333
Seychelles,7.319999999999999
Sierra Leone,8.026666666666667
Singapore,8.626666666666667
Slovakia,11.146666666666667
Slovenia,20.366666666666667
Solomon Islands,5.86
Somalia,3.7066666666666674
South Africa,9.533333333333331
South Sudan,3.4266666666666667
Spain,6.4
Sri Lanka,17.266666666666666
Sudan,4.016666666666667
Sudan (until 2011),8.088888888888889
Suriname,20.12666666666666
Sweden,12.599999999999998
Switzerland,15.226666666666668
Syrian Arab Republic,1.3400000000000003
Tajikistan,2.1666666666666665
Thailand,11.633333333333333
The former Yugoslav Republic of Macedonia,5.713333333333333
Timor-Leste,5.066666666666667
Togo,7.693333333333332
Tonga,2.813333333333333
Trinidad and Tobago,11.1
Tunisia,2.8333333333333335
Turkey,6.133333333333335
Turkmenistan,7.153333333333333
Uganda,8.413333333333332
Ukraine,25.186666666666667
United Arab Emirates,2.086666666666667
United Kingdom of Great Britain and Northern Ireland,6.813333333333333
United Republic of Tanzania,4.626666666666666
United States of America,10.333333333333337
Uruguay,13.919999999999998
Uzbekistan,5.373333333333333
Vanuatu,4.506666666666667
Venezuela (Bolivarian Republic of),4.413333333333333
Viet Nam,5.5600000000000005
Yemen,6.426666666666666
Zambia,5.419999999999999
Zimbabwe,9.946666666666667
