country,clean_water_per_100_people
Afghanistan,37.755
Albania,84.06166666666667
Algeria,86.30499999999999
Andorra,100.0
Angola,24.313888888888876
Antigua and Barbuda,97.32833333333335
Argentina,87.36555555555557
Armenia,94.86166666666664
Australia,99.5661111111111
Austria,100.0
Azerbaijan,69.97277777777776
Bahamas,98.60222222222222
Bahrain,99.96944444444448
Bangladesh,95.51333333333334
Barbados,98.40499999999996
Belarus,97.56000000000002
Belgium,100.0
Belize,90.67277777777777
Benin,55.4061111111111
Bhutan,88.36277777777778
Bolivia (Plurinational State of),66.34833333333333
Bosnia and Herzegovina,95.94
Botswana,61.695
Brazil,81.45888888888891
Brunei Darussalam,99.90000000000003
Bulgaria,98.8627777777778
Burkina Faso,43.499444444444435
Burundi,52.1888888888889
Cabo Verde,71.56944444444444
Cambodia,59.962222222222216
Cameroon,38.76833333333333
Canada,98.45166666666668
Central African Republic,37.747058823529414
Chad,30.654999999999998
Chile,87.78499999999998
China,77.87277777777781
Colombia,78.77833333333334
Comoros,83.13666666666668
Congo,29.300555555555555
Cook Islands,99.88611111111115
Costa Rica,93.64611111111111
Croatia,98.98944444444443
Cuba,85.49000000000001
Cyprus,99.77388888888889
Czechia,99.72500000000001
Côte d’Ivoire,56.70666666666667
Democratic Republic of the Congo,19.29111111111111
Denmark,100.0
Djibouti,50.88944444444445
Dominica,95.36749999999999
Dominican Republic,84.99611111111112
Ecuador,78.66000000000003
Egypt,97.755
El Salvador,73.1566666666667
Equatorial Guinea,33.853888888888896
Eritrea,29.020588235294117
Estonia,98.39666666666666
Eswatini,52.14833333333333
Ethiopia,21.434999999999995
Fiji,89.73111111111112
Finland,100.0
France,100.0
Gabon,47.24444444444444
Gambia,65.36944444444444
Georgia,91.29388888888889
Germany,100.0
Ghana,60.94666666666665
Greece,99.51333333333334
Grenada,94.95222222222222
Guatemala,84.40388888888889
Guinea,51.64944444444444
Guinea-Bissau,47.855555555555554
Guyana,91.1616666666667
Haiti,41.6111111111111
Honduras,82.43055555555551
Hungary,100.0
Iceland,100.0
India,82.3561111111111
Indonesia,74.02111111111111
Iran (Islamic Republic of),89.33611111111112
Iraq,71.94555555555554
Ireland,96.99888888888887
Israel,100.0
Italy,99.67222222222222
Jamaica,86.33666666666669
Japan,98.69222222222223
Jordan,98.02999999999999
Kazakhstan,81.85666666666665
Kenya,43.45333333333334
Kiribati,60.824999999999996
Kuwait,100.0
Kyrgyzstan,77.51777777777778
Lao People's Democratic Republic,56.71444444444445
Latvia,96.91833333333334
Lebanon,89.24555555555555
Lesotho,61.782777777777774
Liberia,56.406111111111116
Libya,91.80833333333332
Lithuania,84.07944444444446
Luxembourg,100.0
Madagascar,29.94055555555555
Malawi,56.388888888888886
Malaysia,91.85499999999999
Maldives,95.23944444444443
Mali,52.80166666666666
Malta,100.0
Marshall Islands,74.47411764705883
Mauritania,36.974999999999994
Mauritius,99.47888888888889
Mexico,85.91500000000002
Micronesia (Federated States of),82.61222222222221
Monaco,100.0
Mongolia,41.9988888888889
Montenegro,95.28166666666668
Morocco,49.65166666666667
Mozambique,24.29611111111111
Myanmar,58.25888888888889
Namibia,67.84333333333333
Nauru,97.83333333333333
Nepal,83.3777777777778
Netherlands,100.0
New Zealand,100.0
Nicaragua,61.17722222222221
Niger,34.37944444444443
Nigeria,45.16277777777778
Niue,98.71444444444444
Norway,100.0
Oman,65.96294117647057
Pakistan,85.50388888888892
Palau,88.18777777777777
Panama,83.72222222222221
Papua New Guinea,29.68388888888889
Paraguay,76.26444444444445
Peru,63.46
Philippines,84.56666666666666
Poland,95.91769230769229
Portugal,99.29888888888888
Qatar,99.90388888888889
Republic of Korea,99.01562499999999
Republic of Moldova,78.45
Romania,100.0
Russian Federation,88.53444444444443
Rwanda,46.74111111111112
Saint Kitts and Nevis,98.69857142857143
Saint Lucia,92.75777777777778
Saint Vincent and the Grenadines,94.31555555555556
Samoa,93.42500000000003
San Marino,100.0
Sao Tome and Principe,67.94333333333333
Saudi Arabia,98.56555555555558
Senegal,54.80944444444444
Serbia,88.9761111111111
Seychelles,95.15833333333335
Sierra Leone,36.5311111111111
Singapore,100.0
Slovakia,98.04166666666664
Slovenia,99.40000000000003
Solomon Islands,70.31166666666667
Somalia,20.650555555555556
South Africa,73.4338888888889
South Korea,95.76222222222219
South Sudan,36.94
Spain,100.0
Sri Lanka,81.89444444444445
Sudan,50.002857142857145
Sudan (until 2011),38.147272727272735
Suriname,81.50166666666667
Sweden,100.0
Switzerland,100.0
Syria,92.63777777777779
Tajikistan,59.300000000000004
Tanzania,28.953888888888894
Thailand,95.83944444444442
The former Yugoslav Republic of Macedonia,95.02833333333332
Timor-Leste,55.051249999999996
Togo,39.01666666666668
Tonga,98.5033333333333
Trinidad and Tobago,95.53888888888888
Tunisia,78.58166666666666
Turkey,94.5961111111111
Turkmenistan,89.48
Tuvalu,98.1129411764706
Uganda,29.569999999999993
Ukraine,94.00333333333334
United Arab Emirates,96.06722222222223
United Kingdom,100.0
United States,97.74777777777778
Uruguay,82.4222222222222
Uzbekistan,89.39666666666666
Vanuatu,82.11444444444446
Venezuela (Bolivarian Republic of),96.18777777777778
Viet Nam,83.97055555555556
Yemen,40.171666666666674
Zambia,36.503888888888895
Zimbabwe,55.077777777777776
