country,doctors_per_10000_people
Afghanistan,2.3225
Albania,13.092727272727272
Algeria,14.449999999999998
Andorra,28.839999999999996
Angola,1.1675
Antigua and Barbuda,13.395
Argentina,34.32714285714285
Armenia,20.32074074074074
Australia,31.455333333333332
Austria,41.785357142857144
Azerbaijan,36.266
Bahamas,20.36
Bahrain,9.936875
Bangladesh,3.892941176470589
Barbados,16.97
Belarus,35.24192307692307
Belgium,29.088421052631578
Belize,9.23
Benin,0.8662500000000001
Bhutan,3.136
Bolivia (Plurinational State of),8.064
Bosnia and Herzegovina,17.023333333333333
Botswana,3.531249999999999
Brazil,15.242500000000001
Brunei Darussalam,13.532666666666666
Bulgaria,35.79319999999999
Burkina Faso,0.5236363636363637
Burundi,0.55
Cabo Verde,5.986666666666667
Cambodia,2.202
Cameroon,0.9166666666666666
Canada,23.11
Central African Republic,0.61
Chad,0.3675
Chile,15.049999999999999
China,13.906190476190474
Colombia,15.191739130434781
Comoros,2.0300000000000002
Congo,2.565
Cook Islands,11.345
Costa Rica,20.960000000000004
Croatia,27.24666666666667
Cuba,62.326896551724154
Cyprus,19.839230769230767
Czechia,33.93448275862069
Côte d’Ivoire,1.466
Democratic Republic of the Congo,0.8566666666666668
Denmark,31.951481481481483
Djibouti,1.8720000000000003
Dominica,11.453333333333333
Dominican Republic,14.916666666666666
Ecuador,14.630526315789474
Egypt,7.601666666666667
El Salvador,15.468
Equatorial Guinea,3.0749999999999997
Eritrea,0.71
Estonia,32.97793103448276
Eswatini,1.825
Ethiopia,0.40700000000000003
Fiji,5.521666666666667
Finland,30.958260869565216
France,33.01655172413793
Gabon,2.9975000000000005
Gambia,1.0571428571428574
Georgia,43.55043478260869
Germany,34.805925925925926
Ghana,1.0433333333333332
Greece,41.62678571428571
Grenada,6.611249999999999
Guatemala,7.113333333333333
Guinea,0.952
Guinea-Bissau,1.1266666666666667
Guyana,5.484999999999999
Haiti,1.7375
Honduras,5.173333333333333
Hungary,32.449655172413784
Iceland,35.108
India,6.7700000000000005
Indonesia,2.221428571428571
Iran (Islamic Republic of),10.964285714285714
Iraq,8.2
Ireland,28.87862068965517
Israel,38.77413793103448
Italy,43.59034482758621
Jamaica,5.75875
Japan,20.540714285714284
Jordan,21.014999999999997
Kazakhstan,37.306
Kenya,1.712222222222222
Kiribati,2.4949999999999997
Kuwait,22.292
Kyrgyzstan,27.3884
Lao People's Democratic Republic,3.7359999999999998
Latvia,33.911071428571425
Lebanon,22.933636363636364
Lesotho,0.565
Liberia,0.264
Libya,17.61
Lithuania,37.166296296296295
Luxembourg,27.910000000000007
Madagascar,1.6576923076923076
Malawi,0.22599999999999998
Malaysia,10.908571428571426
Maldives,17.841818181818176
Mali,1.0462500000000001
Malta,25.814444444444447
Marshall Islands,5.32
Mauritania,1.5657142857142858
Mauritius,16.334615384615383
Mexico,20.943571428571428
Micronesia (Federated States of),5.106
Monaco,61.89799999999999
Mongolia,29.307
Montenegro,20.589999999999996
Morocco,6.736666666666667
Mozambique,0.5109090909090909
Myanmar,5.315
Namibia,4.2725
Nauru,11.95857142857143
Nepal,5.902
Netherlands,29.157999999999998
New Zealand,30.370000000000005
Nicaragua,7.537333333333334
Niger,0.33999999999999997
Nigeria,3.6000000000000005
Niue,20.726
Norway,22.73157894736842
Oman,16.593809523809526
Pakistan,7.464166666666667
Palau,14.725999999999999
Panama,13.02875
Papua New Guinea,0.54
Paraguay,12.6
Peru,12.402
Philippines,11.653333333333334
Poland,22.55571428571428
Portugal,35.847500000000004
Qatar,27.117500000000003
Republic of Korea,20.185000000000002
Republic of Moldova,28.168076923076928
Romania,22.853529411764704
Russian Federation,27.627200000000002
Rwanda,1.0185714285714285
Saint Kitts and Nevis,10.919166666666667
Saint Lucia,10.490769230769228
Saint Vincent and the Grenadines,7.866
Samoa,4.08375
San Marino,52.847500000000004
Sao Tome and Principe,2.986666666666667
Saudi Arabia,20.87090909090909
Senegal,1.3033333333333335
Serbia,24.462857142857143
Seychelles,11.697
Sierra Leone,0.23249999999999998
Singapore,16.922666666666668
Slovakia,33.28473684210527
Slovenia,24.736315789473682
Solomon Islands,1.715
Somalia,0.255
South Africa,7.521818181818182
South Korea,34.655
Spain,32.32285714285714
Sri Lanka,5.418076923076921
Sudan,2.8633333333333333
Sudan (until 2011),3.1925
Suriname,9.275714285714285
Sweden,35.31090909090909
Switzerland,38.462105263157895
Syria,14.202142857142855
Tajikistan,21.2472
Tanzania,0.3225
Thailand,3.6611111111111105
The former Yugoslav Republic of Macedonia,23.754799999999996
Timor-Leste,6.9319999999999995
Togo,0.7187500000000001
Tonga,4.840000000000001
Trinidad and Tobago,15.089999999999998
Tunisia,8.828695652173911
Turkey,14.356785714285717
Turkmenistan,27.302666666666667
Tuvalu,9.373999999999999
Uganda,1.1280000000000001
Ukraine,31.899333333333338
United Arab Emirates,18.32157894736842
United Kingdom,22.47310344827587
United States,25.154374999999998
Uruguay,41.772499999999994
Uzbekistan,28.75833333333333
Vanuatu,1.4083333333333332
Venezuela (Bolivarian Republic of),19.48
Viet Nam,6.88
Yemen,3.4840000000000004
Zambia,2.103
Zimbabwe,1.285294117647059
